@RELATION training

@ATTRIBUTE ram REAL
@ATTRIBUTE cpuutilisation REAL
@ATTRIBUTE hostutilisation REAL
@ATTRIBUTE sla REAL
@ATTRIBUTE migration {0,1}

@DATA
870,0.356821,22,0.081136,1
870,0.752857,38,0.053785,1
613,0.738707,8,0.030414,1
613,0.610099,5,0.037352,1
613,0.174503,1,0.017426,1
870,0.947761,40,0.006014,1
613,0.345104,3,0.033196,1
870,0.307379,15,0.041463,1
613,0.940716,9,0.037533,1
613,0.950992,8,0.036554,1
613,0.486817,4,0.054922,1
870,0.298463,14,0.047315,1
870,0.055692,3,0.045114,1
613,0.281181,3,0.058305,1
613,0.743438,7,0.025601,1
870,0.385565,19,0.012761,1
613,0.13719,1,0.018196,1
613,0.733563,7,0.082503,1
1740,0.800275,52,0.062467,1
613,0.173676,1,0.024653,1
613,0.60433,5,0.102643,1
613,0.148041,1,0.038702,1
870,0.692381,32,0.022909,1
613,0.699972,6,0.017933,1
870,0.938604,40,0.010485,1
613,0.982302,11,0.077102,1
870,0.39415,18,0.097087,1
870,0.727341,31,0.112399,1
870,0.747993,35,0.04868,1
613,0.597448,7,0.062824,1
613,0.606808,5,0.035305,1
613,0.926378,9,0.029543,1
613,0.135892,1,0.023184,1
613,0.653297,5,0.05344,1
613,0.147955,2,0.006839,1
613,0.634316,5,0.011206,1
613,0.599693,5,0.042512,1
613,0.882079,6,0.027707,1
870,0.958805,37,0.028285,1
870,0.989092,41,0.009255,1
613,0.868254,8,0.022027,1
613,0.324763,3,0.02348,1
870,0.609898,22,0.03569,1
1740,0.940705,34,0.059248,1
870,0.286982,15,0.024448,1
613,0.14963,1,0.006576,1
870,0.912552,39,0.027054,1
613,0.477688,5,0.0566,1
870,0.721757,42,0.011509,1
613,0.264884,2,0.027717,1
613,0.431373,3,0.046278,1
613,0.654494,5,0.044729,1
870,0.30321,13,0.05022,1
613,0.045702,0,0.027758,1
1740,0.949488,16,0.032445,1
870,0.943609,33,0.014225,1
870,0.5793,26,0.035382,1
613,0.739199,6,0.00517,1
613,0.39007,4,0.003964,1
613,0.436583,3,0.033689,1
870,0.969807,36,0.006833,1
613,0.137078,1,0.021054,1
613,0.555239,4,0.024732,1
613,0.660581,6,0.012679,1
870,0.803276,36,0.00805,1
870,0.909899,41,0.046692,1
1740,0.518865,9,0.03928,1
613,0.337121,4,0.051294,1
613,0.727286,8,0.050728,1
613,0.156113,1,0.027333,1
870,0.683433,33,0.045994,1
613,0.859772,7,0.065583,1
613,0.856083,6,0.041233,1
613,0.260742,2,0.02419,1
613,0.935142,7,0.091008,1
870,0.849573,32,0.06548,1
613,0.521367,6,0.00456,1
613,0.569366,4,0.051979,1
870,0.727711,28,0.009435,1
613,0.197869,2,0.044731,1
613,0.762173,7,0.011851,1
613,0.695649,6,0.043536,1
870,0.84306,37,0.051493,1
613,0.990564,6,0.107102,1
613,0.732545,5,0.070113,1
613,0.494264,3,0.105195,1
613,0.433676,3,0.062226,1
613,0.150178,1,0.071217,1
613,0.921181,7,0.077364,1
1740,0.420299,8,0.03926,1
1740,0.51115,22,0.032724,1
613,0.76268,8,0.026297,1
